prompt,seed,step,cfg,sampler,width,height,user_name,timestamp,image_nsfw,prompt_nsfw
woodcut of illustrated letters gilded with animistic contours ,3838963998,50,7,k_lms,512,512,fec3b29e38f24876b79948e7ddba7697f9a04f1b36b4361fe5cbab5b06e22578,2022-08-14 00:45:00+00:00,0.07105957,0.016972998157143593
"3 d toy aztec gods as funco toy, octane 8 k render, studio lighting, artstation ",1777661601,50,7,k_lms,512,512,1ee0a604397be663e16f0932f4b26174c935eefef7a3144722bb1a7b0d051d98,2022-08-14 00:45:00+00:00,0.13109536468982697,0.000911838
"spanish golden oriole flying in avila green hay field, summer mid day, 4 k, concept art, by wlop, ilya kuvshinov, artgerm, krenz cushart, greg rutkowski, pixiv. cinematic dramatic atmosphere, sharp focus, volumetric lighting, cinematic lighting, studio quality ",1478757006,150,10,k_lms,512,512,6c5479ccdcb1e88bf4b3bf89276420769fba5f178c7a19670a1b65e56827cd04,2022-08-14 00:46:00+00:00,0.063574642,0.000482302
"spanish golden oriole flying in avila path between oak trees, summer mid day, 4 k, concept art, by wlop, ilya kuvshinov, artgerm, krenz cushart, greg rutkowski, pixiv. cinematic dramatic atmosphere, sharp focus, volumetric lighting, cinematic lighting, studio quality ",1471069805,150,10,k_lms,512,512,6c5479ccdcb1e88bf4b3bf89276420769fba5f178c7a19670a1b65e56827cd04,2022-08-14 00:47:00+00:00,0.127788246,0.000437496
"a woman with an oval shaped face, angular jaw, blue eyes, light brown hair with blond streaks at the front, angular nose, hair tied in a bun ",1800961528,50,7,k_lms,512,512,4596a7e724da0b2a96f59ac5b3fb4a1f05b9234fbe8638c96b83e706634e6114,2022-08-14 00:47:00+00:00,0.15667876601219177,0.019353866577148438
"the piercing blue eyed stare of yuki onna, glittering skin, running mascara, snowstorm, blizzard, mountain snow, canon eos r 6, bokeh, outline glow, asymmetric unnatural beauty, gentle smile, blue skin, centered, rule of thirds ",252063894,50,7,k_lms,1024,768,73832c29ff101814f867220394b7b14f560ed472c023df2f5121ce47d3d2a390,2022-08-14 00:47:00+00:00,0.068366691,0.001514148
"close up, 3 d toy aztec gods as funco toy, octane 8 k render, studio lighting, artstation ",1631085091,50,7,k_lms,512,512,1ee0a604397be663e16f0932f4b26174c935eefef7a3144722bb1a7b0d051d98,2022-08-14 00:47:00+00:00,0.10131939500570297,0.000747977
"spanish golden oriole in avila, hay, pines, oaks, summer, 4 k, concept art, by wlop, ilya kuvshinov, artgerm, krenz cushart, greg rutkowski, pixiv. cinematic dramatic atmosphere, sharp focus, volumetric lighting, cinematic lighting, studio quality ",4071494176,150,10,k_lms,512,512,6c5479ccdcb1e88bf4b3bf89276420769fba5f178c7a19670a1b65e56827cd04,2022-08-14 00:48:00+00:00,0.15453565120697021,0.000675979
"dead body decaying on the forest floor, flowers and mushrooms cover the body, flowers grow from the body, mushrooms grow from the body, concept art, painting, aleksander rostov, beautiful, intricate, detailed, flowers!!!!, nature, warm color palette ",4249157067,50,7,k_lms,512,768,8ff942214df54a60c9064c8401192c766f42e1acb4ee2fb90023dbfe43068b30,2022-08-14 00:48:00+00:00,0.079268962,0.001175058
"an accurate close - up portrait of alvar aalto painted by rembrandt, oil painting, baroque painting, highly detailed, 4 k. ",948333618,150,7,k_lms,512,768,4e133a9e1d3763dc91ed35388cc85e3cedff3079cafed51e58397720dd3ea66c,2022-08-14 00:48:00+00:00,0.047179318964481354,0.000657899
