prompt,ai_model,output_image_url,output_quality,notes
"Robot painter in a renaissance studio","Stable Diffusion","images/robot_painter_sd.png",5,"Photorealistic, detailed brushwork"
"Surreal sunset over Tokyo","Midjourney","images/sunset_mj.jpg",4,"Artistic, vibrant color palette"
"Hyperrealistic dragonfly close-up","DALL·E 3","images/dragonfly_dalle.png",5,"Excellent texture, accurate anatomy"
"Van Gogh style cat portrait","DeepArt","images/cat_deepart.jpg",3,"Strong style transfer, some detail lost"
"Futuristic cityscape at night","Stable Diffusion","images/future_city_sd.png",4,"Neon lights, sharp geometry"
"Abstract rainbow forest","Midjourney","images/rainbow_forest_mj.jpg",5,"Surreal composition, dreamlike"
"Wizard reading in a cosmic library","DALL·E 3","images/wizard_library_dalle.png",4,"Complex scene, creative lighting"
"Anime girl eating ramen","Craiyon","images/anime_ramen_craiyon.jpg",2,"Simple, low-res, but charming"
"Steampunk flying whale","Stable Diffusion","images/steampunk_whale_sd.png",5,"Highly imaginative, detailed"
"Greek statue selfie","DALL·E 3","images/greek_selfie_dalle.png",4,"Modern concept, classical style"
"Ancient ruins overgrown with jungle","Midjourney","images/ruins_jungle_mj.jpg",5,"Rich texture, atmospheric"
"Cyberpunk fox with neon tail","Stable Diffusion","images/cyber_fox_sd.png",4,"Vivid colors, strong theme"
"Penguin detective solving a mystery","DALL·E 3","images/penguin_detective_dalle.png",3,"Cute, some elements unclear"
"Fantasy castle floating in the sky","NightCafe Creator","images/sky_castle_nightcafe.jpg",4,"Ethereal, dreamy atmosphere"
"Octopus playing chess with a human","DALL·E 3","images/octopus_chess_dalle.png",5,"Inventive, good perspective"
"Impressionist sunset on a lake","DeepArt","images/impressionist_lake_deepart.jpg",3,"Painterly, but lacks detail"
"Children playing under bioluminescent trees","Midjourney","images/biotrees_kids_mj.jpg",5,"Magical light, clear faces"
"Robot chef preparing sushi","Stable Diffusion","images/robot_sushi_sd.png",4,"Humorous, clean composition"
"Tiger made of fire and water","DALL·E 3","images/tiger_elements_dalle.png",5,"Dynamic, striking contrast"
"Medieval knight with a laser sword","Stable Diffusion","images/knight_lasersword_sd.png",4,"Blends fantasy & sci-fi well"
"Samurai in the style of Picasso","DeepArt","images/samurai_picasso_deepart.jpg",3,"Cubist, but form a bit lost"
"Mermaid in a city aquarium","Midjourney","images/mermaid_aquarium_mj.jpg",5,"Urban-fantasy mix, great detail"
"Alien botanist in a glasshouse","DALL·E 3","images/alien_botanist_dalle.png",4,"Original theme, soft lighting"
